Date,^DJI,^GSPC,^IXIC
2025-01-27,44713.578125,6012.27978515625,19341.830078125
2025-01-28,44850.3515625,6067.7001953125,19733.58984375
2025-01-29,44713.51953125,6039.31005859375,19632.3203125
2025-01-30,44882.12890625,6071.169921875,19681.75
2025-01-31,44544.66015625,6040.52978515625,19627.439453125
2025-02-03,44421.91015625,5994.56982421875,19391.9609375
2025-02-04,44556.0390625,6037.8798828125,19654.01953125
2025-02-05,44873.28125,6061.47998046875,19692.330078125
2025-02-06,44747.62890625,6083.56982421875,19791.990234375
2025-02-07,44303.3984375,6025.990234375,19523.400390625
2025-02-10,44470.41015625,6066.43994140625,19714.26953125
2025-02-11,44593.6484375,6068.5,19643.859375
2025-02-12,44368.55859375,6051.97021484375,19649.94921875
2025-02-13,44711.4296875,6115.06982421875,19945.640625
2025-02-14,44546.078125,6114.6298828125,20026.76953125
2025-02-18,44556.33984375,6129.580078125,20041.259765625
2025-02-19,44627.58984375,6144.14990234375,20056.25
2025-02-20,44176.6484375,6117.52001953125,19962.359375
2025-02-21,43428.01953125,6013.1298828125,19524.009765625
2025-02-24,43461.2109375,5983.25,19286.9296875
2025-02-25,43621.16015625,5955.25,19026.390625
2025-02-26,43433.12109375,5956.06005859375,19075.259765625
2025-02-27,43239.5,5861.56982421875,18544.419921875
2025-02-28,43840.91015625,5954.5,18847.279296875
2025-03-03,43191.23828125,5849.72021484375,18350.189453125
2025-03-04,42520.98828125,5778.14990234375,18285.16015625
2025-03-05,43006.58984375,5842.6298828125,18552.73046875
2025-03-06,42579.078125,5738.52001953125,18069.259765625
2025-03-07,42801.71875,5770.2001953125,18196.220703125
2025-03-10,41911.7109375,5614.56005859375,17468.3203125
2025-03-11,41433.48046875,5572.06982421875,17436.099609375
2025-03-12,41350.9296875,5599.2998046875,17648.44921875
2025-03-13,40813.5703125,5521.52001953125,17303.009765625
2025-03-14,41488.19140625,5638.93994140625,17754.08984375
2025-03-17,41841.62890625,5675.1201171875,17808.66015625
2025-03-18,41581.30859375,5614.66015625,17504.119140625
2025-03-19,41964.62890625,5675.2900390625,17750.7890625
2025-03-20,41953.3203125,5662.89013671875,17691.630859375
2025-03-21,41985.3515625,5667.56005859375,17784.05078125
2025-03-24,42583.3203125,5767.56982421875,18188.58984375
2025-03-25,42587.5,5776.64990234375,18271.859375
2025-03-26,42454.7890625,5712.2001953125,17899.01953125
2025-03-27,42299.69921875,5693.31005859375,17804.029296875
2025-03-28,41583.8984375,5580.93994140625,17322.990234375
